LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.26563638	0.47376132011413574	0	17.875	11.127608041007093	69.0	9.0	17.875	11.127608041007093	1001	1001
0.06709539	0.7451245784759521	1	19.0	7.958224257542215	43.0	8.0	19.0	7.958224257542215	1026	2027
0.06579223	0.959303617477417	2	21.1875	9.486078066478967	58.0	9.0	21.1875	9.486078066478967	1017	3044
0.0967173	1.1745970249176025	3	23.3953488372093	12.43801288040804	67.0	9.0	23.3953488372093	12.43801288040804	1006	4050
0.041809857	1.3969740867614746	4	20.28	10.291821996128771	68.0	9.0	20.28	10.291821996128771	1014	5064
0.09229183	1.6192576885223389	5	27.405405405405407	15.299636914009147	59.0	9.0	27.405405405405407	15.299636914009147	1014	6078
0.07796234	1.8319861888885498	6	27.86111111111111	13.11308247891263	55.0	10.0	27.86111111111111	13.11308247891263	1003	7081
0.057193607	2.04190993309021	7	25.1	10.938007131100255	49.0	12.0	25.1	10.938007131100255	1004	8085
0.04912132	2.2759149074554443	8	28.88888888888889	13.391078659104389	65.0	10.0	28.88888888888889	13.391078659104389	1040	9125
0.04978762	2.4798262119293213	9	37.44444444444444	18.353187902183084	104.0	10.0	37.44444444444444	18.353187902183084	1011	10136
0.054377973	2.6965413093566895	10	31.21212121212121	13.288768499290365	70.0	13.0	31.21212121212121	13.288768499290365	1030	11166
0.020822138	2.9102132320404053	11	41.08	12.777855845172146	65.0	17.0	41.08	12.777855845172146	1027	12193
0.04758042	3.1153273582458496	12	41.76	19.054196388197536	90.0	15.0	41.76	19.054196388197536	1044	13237
0.042627178	3.328209161758423	13	39.23076923076923	15.865559439596225	86.0	14.0	39.23076923076923	15.865559439596225	1020	14257
0.035018682	3.5404021739959717	14	40.8	19.524343778985248	108.0	15.0	40.8	19.524343778985248	1020	15277
0.050572157	3.750058889389038	15	38.96153846153846	25.218248534971607	128.0	15.0	38.96153846153846	25.218248534971607	1013	16290
0.03928536	3.9670968055725098	16	49.04761904761905	29.41408180815407	142.0	26.0	49.04761904761905	29.41408180815407	1030	17320
0.032379568	4.190128803253174	17	50.75	17.80133421965893	98.0	27.0	50.75	17.80133421965893	1015	18335
0.032844663	4.40291166305542	18	53.0	27.636741372387057	122.0	16.0	53.0	27.636741372387057	1007	19342
0.04906243	4.619652509689331	19	51.0	23.03041467277565	115.0	25.0	51.0	23.03041467277565	1020	20362
0.06272429	4.8333985805511475	20	58.88235294117647	25.010309293054654	122.0	28.0	58.88235294117647	25.010309293054654	1001	21363
0.024611533	5.050654172897339	21	53.8421052631579	20.425121678165517	112.0	24.0	53.8421052631579	20.425121678165517	1023	22386
0.032987654	5.271864414215088	22	67.53333333333333	43.8480203531344	200.0	23.0	67.53333333333333	43.8480203531344	1013	23399
0.04134062	5.487429857254028	23	55.611111111111114	28.217683362051314	142.0	21.0	55.611111111111114	28.217683362051314	1001	24400
0.055133343	5.709758043289185	24	53.8421052631579	32.43984417818171	171.0	22.0	53.8421052631579	32.43984417818171	1023	25423
0.013702154	5.929560661315918	25	54.78947368421053	15.581969834828907	90.0	24.0	54.78947368421053	15.581969834828907	1041	26464
0.034457624	6.131421089172363	26	58.05555555555556	24.557126646572527	115.0	22.0	58.05555555555556	24.557126646572527	1045	27509
0.027095526	6.3578200340271	27	63.625	34.797404716444014	156.0	27.0	63.625	34.797404716444014	1018	28527
0.013332397	6.590654134750366	28	71.66666666666667	27.88229226986587	131.0	38.0	71.66666666666667	27.88229226986587	1075	29602
0.009256244	6.815046787261963	29	51.45	22.071418169206982	100.0	28.0	51.45	22.071418169206982	1029	30631
0.045202434	7.023839473724365	30	67.06666666666666	30.629978053461862	135.0	35.0	67.06666666666666	30.629978053461862	1006	31637
0.018111698	7.2369139194488525	31	67.6875	30.44815008748479	145.0	21.0	67.6875	30.44815008748479	1083	32720
0.019279018	7.461005449295044	32	64.3125	19.79494490393949	100.0	29.0	64.3125	19.79494490393949	1029	33749
0.060785353	7.688122749328613	33	71.4	33.17388531159211	143.0	26.0	71.4	33.17388531159211	1071	34820
0.03603369	7.918540954589844	34	60.8235294117647	22.35866799704482	117.0	31.0	60.8235294117647	22.35866799704482	1034	35854
0.010134153	8.141791105270386	35	75.78571428571429	20.87438133019437	117.0	43.0	75.78571428571429	20.87438133019437	1061	36915
0.020768411	8.376382112503052	36	65.625	27.977390425127215	146.0	37.0	65.625	27.977390425127215	1050	37965
0.006602958	8.59709358215332	37	73.0	24.077256606895347	130.0	42.0	73.0	24.077256606895347	1022	38987
0.002132833	8.808057308197021	38	79.46153846153847	28.933917771935693	164.0	45.0	79.46153846153847	28.933917771935693	1033	40020
0.010161608	9.024518251419067	39	79.23076923076923	19.211990831664906	117.0	49.0	79.23076923076923	19.211990831664906	1030	41050
0.02533172	9.267914772033691	40	85.53846153846153	32.40753802296712	147.0	49.0	85.53846153846153	32.40753802296712	1112	42162
0.019318283	9.489351272583008	41	78.15384615384616	38.67188633748564	193.0	32.0	78.15384615384616	38.67188633748564	1016	43178
0.021823365	9.708901166915894	42	87.91666666666667	29.20747145661344	148.0	40.0	87.91666666666667	29.20747145661344	1055	44233
0.020379305	9.942051410675049	43	72.26666666666667	27.948683133358696	124.0	28.0	72.26666666666667	27.948683133358696	1084	45317
0.020543769	10.170213222503662	44	78.21428571428571	24.779538135406835	125.0	40.0	78.21428571428571	24.779538135406835	1095	46412
0.0653255	10.38339114189148	45	93.27272727272727	47.34033626851978	200.0	43.0	93.27272727272727	47.34033626851978	1026	47438
0.04831636	10.601312160491943	46	85.66666666666667	32.14895885647862	174.0	47.0	85.66666666666667	32.14895885647862	1028	48466
0.042488545	10.8294038772583	47	106.1	45.64964402928023	200.0	48.0	106.1	45.64964402928023	1061	49527
0.0644452	11.057284593582153	48	107.9	34.51796633638778	163.0	63.0	107.9	34.51796633638778	1079	50606
0.033118844	11.278446435928345	49	95.63636363636364	27.190482048863842	134.0	56.0	95.63636363636364	27.190482048863842	1052	51658
0.023395985	11.50675344467163	50	107.2	38.729317060851976	178.0	48.0	107.2	38.729317060851976	1072	52730
0.066033304	11.738827466964722	51	137.375	39.10862277043261	200.0	75.0	137.375	39.10862277043261	1099	53829
0.24785018	11.980520725250244	52	125.77777777777777	55.83861224353584	200.0	34.0	125.77777777777777	55.83861224353584	1132	54961
0.09587374	12.212777614593506	53	138.25	42.37850280507796	200.0	89.0	138.25	42.37850280507796	1106	56067
0.18372136	12.432459592819214	54	145.71428571428572	30.588112937237963	200.0	99.0	145.71428571428572	30.588112937237963	1020	57087
0.05657935	12.651084661483765	55	149.28571428571428	56.27918743883488	200.0	27.0	149.28571428571428	56.27918743883488	1045	58132
-0.054093122	12.900722980499268	56	170.71428571428572	32.6790202935605	200.0	103.0	170.71428571428572	32.6790202935605	1195	59327
0.007211283	13.122365236282349	57	167.83333333333334	32.323452098369	200.0	109.0	167.83333333333334	32.323452098369	1007	60334
0.004428912	13.361714124679565	58	187.33333333333334	19.24981962397455	200.0	145.0	187.33333333333334	19.24981962397455	1124	61458
0.013865486	13.604502201080322	59	185.16666666666666	25.96418473376141	200.0	129.0	185.16666666666666	25.96418473376141	1111	62569
0.05531031	13.826710939407349	60	172.5	53.84468404587402	200.0	53.0	172.5	53.84468404587402	1035	63604
0.019330673	14.066571950912476	61	190.0	22.360679774997898	200.0	140.0	190.0	22.360679774997898	1140	64744
0.0	14.317793130874634	62	200.0	0.0	200.0	200.0	200.0	0.0	1200	65944
0.018289983	14.549898624420166	63	177.66666666666666	42.78888744626212	200.0	83.0	177.66666666666666	42.78888744626212	1066	67010
0.0	14.809994459152222	64	200.0	0.0	200.0	200.0	200.0	0.0	1200	68210
0.0	15.057027101516724	65	200.0	0.0	200.0	200.0	200.0	0.0	1200	69410
0.03098604	15.281907320022583	66	189.83333333333334	22.73335777124786	200.0	139.0	189.83333333333334	22.73335777124786	1139	70549
0.0	15.543458223342896	67	200.0	0.0	200.0	200.0	200.0	0.0	1200	71749
0.0044598877	15.79611849784851	68	195.33333333333334	10.43498389499902	200.0	172.0	195.33333333333334	10.43498389499902	1172	72921
0.006834805	16.028650760650635	69	184.16666666666666	33.647271641083904	200.0	109.0	184.16666666666666	33.647271641083904	1105	74026
0.0	16.274277925491333	70	200.0	0.0	200.0	200.0	200.0	0.0	1200	75226
