Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenSt	TimestepsThisBatch	TimestepsSoFar
0.5652332305908203	0	14.183099	5.48573	35.0	8.0	14.183098591549296	5.485730167366323	1007	1007
0.8570497035980225	1	11.940476	2.7960484	24.0	8.0	11.94047619047619	2.7960481912027806	1003	2010
1.1207120418548584	2	12.407408	3.8128366	24.0	8.0	12.407407407407407	3.81283659603887	1005	3015
1.4998881816864014	3	11.632184	2.5691135	21.0	8.0	11.632183908045977	2.5691133697070896	1012	4027
1.9081168174743652	4	12.256098	3.31225	25.0	8.0	12.25609756097561	3.312249900764736	1005	5032
2.2802040576934814	5	12.679012	3.8000233	27.0	8.0	12.679012345679013	3.8000232633915174	1027	6059
2.614480972290039	6	13.648648	4.388044	29.0	8.0	13.64864864864865	4.388044052454574	1010	7069
2.9094998836517334	7	16.0	5.9947066	34.0	8.0	16.0	5.9947066597547485	1008	8077
3.1754016876220703	8	20.428572	10.629186	73.0	9.0	20.428571428571427	10.629185850136157	1001	9078
