Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenSt	TimestepsThisBatch	TimestepsSoFar
0.5766768455505371	0	20.836735	10.180708	51.0	9.0	20.836734693877553	10.180707923694298	1021	1021
0.8861758708953857	1	26.125	14.498599	77.0	11.0	26.125	14.498599070255029	1045	2066
1.180516004562378	2	33.7	16.737484	86.0	12.0	33.7	16.73748288522899	1011	3077
1.5781011581420898	3	40.56	16.20637	79.0	15.0	40.56	16.206369118343563	1014	4091
1.9979753494262695	4	40.56	11.437062	76.0	22.0	40.56	11.437062559940816	1014	5105
2.3494467735290527	5	50.25	22.638187	85.0	24.0	50.25	22.638186764844924	1005	6110
2.6940066814422607	6	48.142857	20.487593	106.0	24.0	48.142857142857146	20.487593723974502	1011	7121
2.9775731563568115	7	48.285713	19.73429	90.0	23.0	48.285714285714285	19.73428936827339	1014	8135
